t;vs
 1.069; 0.060; 1069
 1.070; 0.060; 1070
 1.071; 0.060; 1071
 1.072; 0.060; 1072
 1.073; 0.060; 1073
 1.074; 0.060; 1074
 1.075; 0.060; 1075
 1.076; 0.060; 1076
 1.077; 0.060; 1077
 1.078; 0.060; 1078
 1.079; 0.060; 1079
 1.080; 0.060; 1080
 1.081; 0.060; 1081
 1.082; 0.060; 1082
 1.083; 0.060; 1083
 1.084; 0.060; 1084
 1.085; 0.060; 1085
 1.086; 0.060; 1086
 1.087; 0.061; 1087
 1.088; 0.061; 1088
 1.089; 0.061; 1089
 1.090; 0.061; 1090
 1.091; 0.061; 1091
 1.092; 0.061; 1092
 1.093; 0.061; 1093
 1.094; 0.061; 1094
 1.095; 0.061; 1095
 1.096; 0.061; 1096
 1.097; 0.061; 1097
 1.098; 0.061; 1098
 1.099; 0.061; 1099
 1.100; 0.061; 1100
 1.101; 0.061; 1101
 1.102; 0.061; 1102
 1.103; 0.061; 1103
 1.104; 0.061; 1104
 1.105; 0.062; 1105
 1.106; 0.062; 1106
 1.107; 0.062; 1107
 1.108; 0.062; 1108
 1.109; 0.062; 1109
 1.110; 0.062; 1110
 1.111; 0.062; 1111
 1.112; 0.062; 1112
 1.113; 0.062; 1113
 1.114; 0.062; 1114
 1.115; 0.062; 1115
 1.116; 0.062; 1116
 1.117; 0.062; 1117
 1.118; 0.062; 1118
 1.119; 0.062; 1119
 1.120; 0.062; 1120
 1.121; 0.062; 1121
 1.122; 0.062; 1122
 1.123; 0.063; 1123
 1.124; 0.063; 1124
 1.125; 0.063; 1125
 1.126; 0.063; 1126
 1.127; 0.063; 1127
 1.128; 0.063; 1128
 1.129; 0.063; 1129
 1.130; 0.063; 1130
 1.131; 0.063; 1131
 1.132; 0.063; 1132
 1.133; 0.063; 1133
 1.134; 0.063; 1134
 1.135; 0.063; 1135
 1.136; 0.063; 1136
 1.137; 0.063; 1137
 1.138; 0.063; 1138
 1.139; 0.063; 1139
 1.140; 0.063; 1140
 1.141; 0.064; 1141
 1.142; 0.064; 1142
 1.143; 0.064; 1143
 1.144; 0.064; 1144
 1.145; 0.064; 1145
 1.146; 0.064; 1146
 1.147; 0.064; 1147
 1.148; 0.064; 1148
 1.149; 0.064; 1149
 1.150; 0.064; 1150
 1.151; 0.064; 1151
 1.152; 0.064; 1152
 1.153; 0.064; 1153
 1.154; 0.064; 1154
 1.155; 0.064; 1155
 1.156; 0.064; 1156
 1.157; 0.064; 1157
 1.158; 0.064; 1158
 1.159; 0.065; 1159
 1.160; 0.065; 1160
 1.161; 0.065; 1161
 1.162; 0.065; 1162
 1.163; 0.065; 1163
 1.164; 0.065; 1164
 1.165; 0.065; 1165
 1.166; 0.065; 1166
 1.167; 0.065; 1167
 1.168; 0.065; 1168
 1.169; 0.065; 1169
 1.170; 0.065; 1170
 1.171; 0.065; 1171
 1.172; 0.065; 1172
 1.173; 0.065; 1173
 1.174; 0.065; 1174
 1.175; 0.065; 1175
 1.176; 0.065; 1176
 1.177; 0.066; 1177
 1.178; 0.066; 1178
 1.179; 0.066; 1179
 1.180; 0.066; 1180
 1.181; 0.066; 1181
 1.182; 0.066; 1182
 1.183; 0.066; 1183
 1.184; 0.066; 1184
 1.185; 0.066; 1185
 1.186; 0.066; 1186
 1.187; 0.066; 1187
 1.188; 0.066; 1188
 1.189; 0.066; 1189
 1.190; 0.066; 1190
 1.191; 0.066; 1191
 1.192; 0.066; 1192
 1.193; 0.066; 1193
 1.194; 0.066; 1194
 1.195; 0.067; 1195
 1.196; 0.067; 1196
 1.197; 0.067; 1197
 1.198; 0.067; 1198
 1.199; 0.067; 1199
 1.200; 0.067; 1200
 1.201; 0.067; 1201
 1.202; 0.067; 1202
 1.203; 0.067; 1203
 1.204; 0.067; 1204
 1.205; 0.067; 1205
 1.206; 0.067; 1206
 1.207; 0.067; 1207
 1.208; 0.067; 1208
 1.209; 0.067; 1209
 1.210; 0.067; 1210
 1.211; 0.067; 1211
 1.212; 0.067; 1212
 1.213; 0.068; 1213
 1.214; 0.068; 1214
 1.215; 0.068; 1215
 1.216; 0.068; 1216
 1.217; 0.068; 1217
 1.218; 0.068; 1218
 1.219; 0.068; 1219
 1.220; 0.068; 1220
 1.221; 0.068; 1221
 1.222; 0.068; 1222
 1.223; 0.068; 1223
 1.224; 0.068; 1224
 1.225; 0.068; 1225
 1.226; 0.068; 1226
 1.227; 0.068; 1227
 1.228; 0.068; 1228
 1.229; 0.068; 1229
 1.230; 0.068; 1230
 1.231; 0.069; 1231
 1.232; 0.069; 1232
 1.233; 0.069; 1233
 1.234; 0.069; 1234
 1.235; 0.069; 1235
 1.236; 0.069; 1236
 1.237; 0.069; 1237
 1.238; 0.069; 1238
 1.239; 0.069; 1239
 1.240; 0.069; 1240
 1.241; 0.069; 1241
 1.242; 0.069; 1242
 1.243; 0.069; 1243
 1.244; 0.069; 1244
 1.245; 0.069; 1245
 1.246; 0.069; 1246
 1.247; 0.069; 1247
 1.248; 0.069; 1248
 1.249; 0.070; 1249
 1.250; 0.070; 1250
 1.251; 0.070; 1251
 1.252; 0.070; 1252
 1.253; 0.070; 1253
 1.254; 0.070; 1254
 1.255; 0.070; 1255
 1.256; 0.070; 1256
 1.257; 0.070; 1257
 1.258; 0.070; 1258
 1.259; 0.070; 1259
 1.260; 0.070; 1260
 1.261; 0.070; 1261
 1.262; 0.070; 1262
 1.263; 0.070; 1263
 1.264; 0.070; 1264
 1.265; 0.070; 1265
 1.266; 0.070; 1266
 1.267; 0.071; 1267
 1.268; 0.071; 1268
 1.269; 0.071; 1269
 1.270; 0.071; 1270
 1.271; 0.071; 1271
 1.272; 0.071; 1272
 1.273; 0.071; 1273
 1.274; 0.071; 1274
 1.275; 0.071; 1275
 1.276; 0.071; 1276
 1.277; 0.071; 1277
 1.278; 0.071; 1278
 1.279; 0.071; 1279
 1.280; 0.071; 1280
 1.281; 0.071; 1281
 1.282; 0.071; 1282
 1.283; 0.071; 1283
 1.284; 0.071; 1284
 1.285; 0.072; 1285
 1.286; 0.072; 1286
 1.287; 0.072; 1287
 1.288; 0.072; 1288
 1.289; 0.072; 1289
 1.290; 0.072; 1290
 1.291; 0.072; 1291
 1.292; 0.072; 1292
 1.293; 0.072; 1293
 1.294; 0.072; 1294
 1.295; 0.072; 1295
 1.296; 0.072; 1296
 1.297; 0.072; 1297
 1.298; 0.072; 1298
 1.299; 0.072; 1299
 1.300; 0.072; 1300
 1.301; 0.072; 1301
 1.302; 0.072; 1302
 1.303; 0.073; 1303
 1.304; 0.073; 1304
 1.305; 0.073; 1305
 1.306; 0.073; 1306
 1.307; 0.073; 1307
 1.308; 0.073; 1308
 1.309; 0.073; 1309
 1.310; 0.073; 1310
 1.311; 0.073; 1311
 1.312; 0.073; 1312
 1.313; 0.073; 1313
 1.314; 0.073; 1314
 1.315; 0.073; 1315
 1.316; 0.073; 1316
 1.317; 0.073; 1317
 1.318; 0.073; 1318
 1.319; 0.073; 1319
 1.320; 0.073; 1320
 1.321; 0.074; 1321
 1.322; 0.074; 1322
 1.323; 0.074; 1323
 1.324; 0.074; 1324
 1.325; 0.074; 1325
 1.326; 0.074; 1326
 1.327; 0.074; 1327
 1.328; 0.074; 1328
 1.329; 0.074; 1329
 1.330; 0.074; 1330
 1.331; 0.074; 1331
 1.332; 0.074; 1332
 1.333; 0.074; 1333
 1.334; 0.074; 1334
 1.335; 0.074; 1335
 1.336; 0.074; 1336
 1.337; 0.074; 1337
 1.338; 0.074; 1338
 1.339; 0.075; 1339
 1.340; 0.075; 1340
 1.341; 0.075; 1341
 1.342; 0.075; 1342
 1.343; 0.075; 1343
 1.344; 0.075; 1344
 1.345; 0.075; 1345
 1.346; 0.075; 1346
 1.347; 0.075; 1347
 1.348; 0.075; 1348
 1.349; 0.075; 1349
 1.350; 0.075; 1350
 1.351; 0.075; 1351
 1.352; 0.075; 1352
 1.353; 0.075; 1353
 1.354; 0.075; 1354
 1.355; 0.075; 1355
 1.356; 0.075; 1356
 1.357; 0.076; 1357
 1.358; 0.076; 1358
 1.359; 0.076; 1359
 1.360; 0.076; 1360
 1.361; 0.076; 1361
 1.362; 0.076; 1362
 1.363; 0.076; 1363
 1.364; 0.076; 1364
 1.365; 0.076; 1365
 1.366; 0.076; 1366
 1.367; 0.076; 1367
 1.368; 0.076; 1368
 1.369; 0.076; 1369
 1.370; 0.076; 1370
 1.371; 0.076; 1371
 1.372; 0.076; 1372
 1.373; 0.076; 1373
 1.374; 0.076; 1374
 1.375; 0.077; 1375
 1.376; 0.077; 1376
 1.377; 0.077; 1377
 1.378; 0.077; 1378
 1.379; 0.077; 1379
 1.380; 0.077; 1380
 1.381; 0.077; 1381
 1.382; 0.077; 1382
 1.383; 0.077; 1383
 1.384; 0.077; 1384
 1.385; 0.077; 1385
 1.386; 0.077; 1386
 1.387; 0.077; 1387
 1.388; 0.077; 1388
 1.389; 0.077; 1389
 1.390; 0.077; 1390
 1.391; 0.077; 1391
 1.392; 0.077; 1392
 1.393; 0.078; 1393
 1.394; 0.078; 1394
 1.395; 0.078; 1395
 1.396; 0.078; 1396
 1.397; 0.078; 1397
 1.398; 0.078; 1398
 1.399; 0.078; 1399
 1.400; 0.078; 1400
 1.401; 0.078; 1401
 1.402; 0.078; 1402
 1.403; 0.078; 1403
 1.404; 0.078; 1404
 1.405; 0.078; 1405
 1.406; 0.078; 1406
 1.407; 0.078; 1407
 1.408; 0.078; 1408
 1.409; 0.078; 1409
 1.410; 0.078; 1410
 1.411; 0.079; 1411
 1.412; 0.079; 1412
 1.413; 0.079; 1413
 1.414; 0.079; 1414
 1.415; 0.079; 1415
 1.416; 0.079; 1416
 1.417; 0.079; 1417
 1.418; 0.079; 1418
 1.419; 0.079; 1419
 1.420; 0.079; 1420
 1.421; 0.079; 1421
 1.422; 0.079; 1422
 1.423; 0.079; 1423
 1.424; 0.079; 1424
 1.425; 0.079; 1425
 1.426; 0.079; 1426
 1.427; 0.079; 1427
 1.428; 0.079; 1428
 1.429; 0.080; 1429
 1.430; 0.080; 1430
 1.431; 0.080; 1431
 1.432; 0.080; 1432
 1.433; 0.080; 1433
 1.434; 0.080; 1434
 1.435; 0.080; 1435
 1.436; 0.080; 1436
 1.437; 0.080; 1437
 1.438; 0.080; 1438
 1.439; 0.080; 1439
 1.440; 0.080; 1440
 1.441; 0.080; 1441
 1.442; 0.080; 1442
 1.443; 0.080; 1443
 1.444; 0.080; 1444
 1.445; 0.080; 1445
 1.446; 0.080; 1446
 1.447; 0.081; 1447
 1.448; 0.081; 1448
 1.449; 0.081; 1449
 1.450; 0.081; 1450
 1.451; 0.081; 1451
 1.452; 0.081; 1452
 1.453; 0.081; 1453
 1.454; 0.081; 1454
 1.455; 0.081; 1455
 1.456; 0.081; 1456
 1.457; 0.081; 1457
 1.458; 0.081; 1458
 1.459; 0.081; 1459
 1.460; 0.081; 1460
 1.461; 0.081; 1461
 1.462; 0.081; 1462
 1.463; 0.081; 1463
 1.464; 0.081; 1464
 1.465; 0.082; 1465
 1.466; 0.082; 1466
 1.467; 0.082; 1467
 1.468; 0.082; 1468
 1.469; 0.082; 1469
 1.470; 0.082; 1470
 1.471; 0.082; 1471
 1.472; 0.082; 1472
 1.473; 0.082; 1473
 1.474; 0.082; 1474
 1.475; 0.082; 1475
 1.476; 0.082; 1476
 1.477; 0.082; 1477
 1.478; 0.082; 1478
 1.479; 0.082; 1479
 1.480; 0.082; 1480
 1.481; 0.082; 1481
 1.482; 0.082; 1482
 1.483; 0.083; 1483
 1.484; 0.083; 1484
 1.485; 0.083; 1485
 1.486; 0.083; 1486
 1.487; 0.083; 1487
 1.488; 0.083; 1488
 1.489; 0.083; 1489
 1.490; 0.083; 1490
 1.491; 0.083; 1491
 1.492; 0.083; 1492
 1.493; 0.083; 1493
 1.494; 0.083; 1494
 1.495; 0.083; 1495
 1.496; 0.083; 1496
 1.497; 0.083; 1497
 1.498; 0.083; 1498
 1.499; 0.083; 1499
 1.500; 0.083; 1500
 1.501; 0.083; 1501
 1.502; 0.083; 1502
 1.503; 0.083; 1503
 1.504; 0.083; 1504
 1.505; 0.084; 1505
 1.506; 0.084; 1506
 1.507; 0.084; 1507
 1.508; 0.084; 1508
 1.509; 0.084; 1509
 1.510; 0.084; 1510
 1.511; 0.084; 1511
 1.512; 0.084; 1512
 1.513; 0.084; 1513
 1.514; 0.084; 1514
 1.515; 0.084; 1515
 1.516; 0.084; 1516
 1.517; 0.084; 1517
 1.518; 0.084; 1518
 1.519; 0.085; 1519
 1.520; 0.085; 1520
 1.521; 0.085; 1521
 1.522; 0.085; 1522
 1.523; 0.085; 1523
 1.524; 0.085; 1524
 1.525; 0.085; 1525
 1.526; 0.085; 1526
 1.527; 0.085; 1527
 1.528; 0.085; 1528
 1.529; 0.085; 1529
 1.530; 0.085; 1530
 1.531; 0.085; 1531
 1.532; 0.085; 1532
 1.533; 0.085; 1533
 1.534; 0.085; 1534
 1.535; 0.085; 1535
 1.536; 0.085; 1536
 1.537; 0.086; 1537
 1.538; 0.086; 1538
 1.539; 0.086; 1539
 1.540; 0.086; 1540
 1.541; 0.086; 1541
 1.542; 0.086; 1542
 1.543; 0.086; 1543
 1.544; 0.086; 1544
 1.545; 0.086; 1545
 1.546; 0.086; 1546
 1.547; 0.086; 1547
 1.548; 0.086; 1548
 1.549; 0.086; 1549
 1.550; 0.086; 1550
 1.551; 0.086; 1551
 1.552; 0.086; 1552
 1.553; 0.086; 1553
 1.554; 0.086; 1554
 1.555; 0.087; 1555
 1.556; 0.087; 1556
 1.557; 0.087; 1557
 1.558; 0.087; 1558
 1.559; 0.087; 1559
 1.560; 0.087; 1560
 1.561; 0.087; 1561
 1.562; 0.087; 1562
 1.563; 0.087; 1563
 1.564; 0.087; 1564
 1.565; 0.087; 1565
 1.566; 0.087; 1566
 1.567; 0.087; 1567
 1.568; 0.087; 1568
 1.569; 0.087; 1569
 1.570; 0.087; 1570
 1.571; 0.087; 1571
 1.572; 0.087; 1572
 1.573; 0.088; 1573
 1.574; 0.088; 1574
 1.575; 0.088; 1575
 1.576; 0.088; 1576
 1.577; 0.088; 1577
 1.578; 0.088; 1578
 1.579; 0.088; 1579
 1.580; 0.088; 1580
 1.581; 0.088; 1581
 1.582; 0.088; 1582
 1.583; 0.088; 1583
 1.584; 0.088; 1584
 1.585; 0.088; 1585
 1.586; 0.088; 1586
 1.587; 0.088; 1587
 1.588; 0.088; 1588
 1.589; 0.088; 1589
 1.590; 0.088; 1590
 1.591; 0.089; 1591
 1.592; 0.089; 1592
 1.593; 0.089; 1593
 1.594; 0.089; 1594
 1.595; 0.089; 1595
 1.596; 0.089; 1596
 1.597; 0.089; 1597
 1.598; 0.089; 1598
 1.599; 0.089; 1599
 1.600; 0.089; 1600
 1.601; 0.089; 1601
 1.602; 0.089; 1602
 1.603; 0.089; 1603
 1.604; 0.089; 1604
 1.605; 0.089; 1605
 1.606; 0.089; 1606
 1.607; 0.089; 1607
 1.608; 0.089; 1608
 1.609; 0.090; 1609
 1.610; 0.090; 1610
 1.611; 0.090; 1611
 1.612; 0.090; 1612
 1.613; 0.090; 1613
 1.614; 0.090; 1614
 1.615; 0.090; 1615
 1.616; 0.090; 1616
 1.617; 0.090; 1617
 1.618; 0.090; 1618
 1.619; 0.090; 1619
 1.620; 0.090; 1620
 1.621; 0.090; 1621
 1.622; 0.090; 1622
 1.623; 0.090; 1623
 1.624; 0.090; 1624
 1.625; 0.090; 1625
 1.626; 0.090; 1626
 1.627; 0.091; 1627
 1.628; 0.091; 1628
 1.629; 0.091; 1629
 1.630; 0.091; 1630
 1.631; 0.091; 1631
 1.632; 0.091; 1632
 1.633; 0.091; 1633
 1.634; 0.091; 1634
 1.635; 0.091; 1635
 1.636; 0.091; 1636
 1.637; 0.091; 1637
 1.638; 0.091; 1638
 1.639; 0.091; 1639
 1.640; 0.091; 1640
 1.641; 0.091; 1641
 1.642; 0.091; 1642
 1.643; 0.091; 1643
 1.644; 0.091; 1644
 1.645; 0.092; 1645
 1.646; 0.092; 1646
 1.647; 0.092; 1647
 1.648; 0.092; 1648
 1.649; 0.092; 1649
 1.650; 0.092; 1650
 1.651; 0.092; 1651
 1.652; 0.092; 1652
 1.653; 0.092; 1653
 1.654; 0.092; 1654
 1.655; 0.092; 1655
 1.656; 0.092; 1656
 1.657; 0.092; 1657
 1.658; 0.092; 1658
 1.659; 0.092; 1659
 1.660; 0.092; 1660
 1.661; 0.092; 1661
 1.662; 0.092; 1662
 1.663; 0.093; 1663
 1.664; 0.093; 1664
 1.665; 0.093; 1665
 1.666; 0.093; 1666
 1.667; 0.093; 1667
 1.668; 0.093; 1668
 1.669; 0.093; 1669
 1.670; 0.093; 1670
 1.671; 0.093; 1671
 1.672; 0.093; 1672
 1.673; 0.093; 1673
 1.674; 0.093; 1674
 1.675; 0.093; 1675
 1.676; 0.093; 1676
 1.677; 0.093; 1677
 1.678; 0.093; 1678
 1.679; 0.093; 1679
 1.680; 0.093; 1680
 1.681; 0.094; 1681
 1.682; 0.094; 1682
 1.683; 0.094; 1683
 1.684; 0.094; 1684
 1.685; 0.094; 1685
 1.686; 0.094; 1686
 1.687; 0.094; 1687
 1.688; 0.094; 1688
 1.689; 0.094; 1689
 1.690; 0.094; 1690
 1.691; 0.094; 1691
 1.692; 0.094; 1692
 1.693; 0.094; 1693
 1.694; 0.094; 1694
 1.695; 0.094; 1695
 1.696; 0.094; 1696
 1.697; 0.094; 1697
 1.698; 0.094; 1698
 1.699; 0.095; 1699
 1.700; 0.095; 1700
 1.701; 0.095; 1701
 1.702; 0.095; 1702
 1.703; 0.095; 1703
 1.704; 0.095; 1704
 1.705; 0.095; 1705
 1.706; 0.095; 1706
 1.707; 0.095; 1707
 1.708; 0.095; 1708
 1.709; 0.095; 1709
 1.710; 0.095; 1710
 1.711; 0.095; 1711
 1.712; 0.095; 1712
 1.713; 0.095; 1713
 1.714; 0.095; 1714
 1.715; 0.095; 1715
 1.716; 0.095; 1716
 1.717; 0.096; 1717
 1.718; 0.096; 1718
 1.719; 0.096; 1719
 1.720; 0.096; 1720
 1.721; 0.096; 1721
 1.722; 0.096; 1722
 1.723; 0.096; 1723
 1.724; 0.096; 1724
 1.725; 0.096; 1725
 1.726; 0.096; 1726
 1.727; 0.096; 1727
 1.728; 0.096; 1728
 1.729; 0.096; 1729
 1.730; 0.096; 1730
 1.731; 0.096; 1731
 1.732; 0.096; 1732
 1.733; 0.096; 1733
 1.734; 0.096; 1734
 1.735; 0.097; 1735
 1.736; 0.097; 1736
 1.737; 0.097; 1737
 1.738; 0.097; 1738
 1.739; 0.097; 1739
 1.740; 0.097; 1740
 1.741; 0.097; 1741
 1.742; 0.097; 1742
 1.743; 0.097; 1743
 1.744; 0.097; 1744
 1.745; 0.097; 1745
 1.746; 0.097; 1746
 1.747; 0.097; 1747
 1.748; 0.097; 1748
 1.749; 0.097; 1749
 1.750; 0.097; 1750
 1.751; 0.097; 1751
 1.752; 0.097; 1752
 1.753; 0.098; 1753
 1.754; 0.098; 1754
 1.755; 0.098; 1755
 1.756; 0.098; 1756
 1.757; 0.098; 1757
 1.758; 0.098; 1758
 1.759; 0.098; 1759
 1.760; 0.098; 1760
 1.761; 0.098; 1761
 1.762; 0.098; 1762
 1.763; 0.098; 1763
 1.764; 0.098; 1764
 1.765; 0.098; 1765
 1.766; 0.098; 1766
 1.767; 0.098; 1767
 1.768; 0.098; 1768
 1.769; 0.098; 1769
 1.770; 0.098; 1770
 1.771; 0.099; 1771
 1.772; 0.099; 1772
 1.773; 0.099; 1773
 1.774; 0.099; 1774
 1.775; 0.099; 1775
 1.776; 0.099; 1776
 1.777; 0.099; 1777
 1.778; 0.099; 1778
 1.779; 0.099; 1779
 1.780; 0.099; 1780
 1.781; 0.099; 1781
 1.782; 0.099; 1782
 1.783; 0.099; 1783
 1.784; 0.099; 1784
 1.785; 0.099; 1785
 1.786; 0.099; 1786
 1.787; 0.099; 1787
 1.788; 0.099; 1788
 1.789; 0.100; 1789
 1.790; 0.100; 1790
 1.791; 0.100; 1791
 1.792; 0.100; 1792
 1.793; 0.100; 1793
 1.794; 0.100; 1794
 1.795; 0.100; 1795
 1.796; 0.100; 1796
 1.797; 0.100; 1797
 1.798; 0.100; 1798
 1.799; 0.100; 1799
 1.800; 0.100; 1800
 1.801; 0.100; 1801
 1.802; 0.100; 1802
 1.803; 0.100; 1803
 1.804; 0.100; 1804
 1.805; 0.100; 1805
 1.806; 0.100; 1806
 1.807; 0.101; 1807
 1.808; 0.101; 1808
 1.809; 0.101; 1809
 1.810; 0.101; 1810
 1.811; 0.101; 1811
 1.812; 0.101; 1812
 1.813; 0.101; 1813
 1.814; 0.101; 1814
 1.815; 0.101; 1815
 1.816; 0.101; 1816
 1.817; 0.101; 1817
 1.818; 0.101; 1818
 1.819; 0.101; 1819
 1.820; 0.101; 1820
 1.821; 0.101; 1821
 1.822; 0.101; 1822
 1.823; 0.101; 1823
 1.824; 0.101; 1824
 1.825; 0.102; 1825
 1.826; 0.102; 1826
 1.827; 0.102; 1827
 1.828; 0.102; 1828
 1.829; 0.102; 1829
 1.830; 0.102; 1830
 1.831; 0.102; 1831
 1.832; 0.102; 1832
 1.833; 0.102; 1833
 1.834; 0.102; 1834
 1.835; 0.102; 1835
 1.836; 0.102; 1836
 1.837; 0.102; 1837
 1.838; 0.102; 1838
 1.839; 0.102; 1839
 1.840; 0.102; 1840
 1.841; 0.102; 1841
 1.842; 0.102; 1842
 1.843; 0.103; 1843
 1.844; 0.103; 1844
 1.845; 0.103; 1845
 1.846; 0.103; 1846
 1.847; 0.103; 1847
 1.848; 0.103; 1848
 1.849; 0.103; 1849
 1.850; 0.103; 1850
 1.851; 0.103; 1851
 1.852; 0.103; 1852
 1.853; 0.103; 1853
 1.854; 0.103; 1854
 1.855; 0.103; 1855
 1.856; 0.103; 1856
 1.857; 0.103; 1857
 1.858; 0.103; 1858
 1.859; 0.103; 1859
 1.860; 0.103; 1860
 1.861; 0.104; 1861
 1.862; 0.104; 1862
 1.863; 0.104; 1863
 1.864; 0.104; 1864
 1.865; 0.104; 1865
 1.866; 0.104; 1866
 1.867; 0.104; 1867
 1.868; 0.104; 1868
 1.869; 0.104; 1869
 1.870; 0.104; 1870
 1.871; 0.104; 1871
 1.872; 0.104; 1872
 1.873; 0.104; 1873
 1.874; 0.104; 1874
 1.875; 0.104; 1875
 1.876; 0.104; 1876
 1.877; 0.104; 1877
 1.878; 0.104; 1878
 1.879; 0.105; 1879
 1.880; 0.105; 1880
 1.881; 0.105; 1881
 1.882; 0.105; 1882
 1.883; 0.105; 1883
 1.884; 0.105; 1884
 1.885; 0.105; 1885
 1.886; 0.105; 1886
 1.887; 0.105; 1887
 1.888; 0.105; 1888
 1.889; 0.105; 1889
 1.890; 0.105; 1890
 1.891; 0.105; 1891
 1.892; 0.105; 1892
 1.893; 0.105; 1893
 1.894; 0.105; 1894
 1.895; 0.105; 1895
 1.896; 0.105; 1896
 1.897; 0.106; 1897
 1.898; 0.106; 1898
 1.899; 0.106; 1899
 1.900; 0.106; 1900
 1.901; 0.106; 1901
 1.902; 0.106; 1902
 1.903; 0.106; 1903
 1.904; 0.106; 1904
 1.905; 0.106; 1905
 1.906; 0.106; 1906
 1.907; 0.106; 1907
 1.908; 0.106; 1908
 1.909; 0.106; 1909
 1.910; 0.106; 1910
 1.911; 0.106; 1911
 1.912; 0.106; 1912
 1.913; 0.106; 1913
 1.914; 0.106; 1914
 1.915; 0.107; 1915
 1.916; 0.107; 1916
 1.917; 0.107; 1917
 1.918; 0.107; 1918
 1.919; 0.107; 1919
 1.920; 0.107; 1920
 1.921; 0.107; 1921
 1.922; 0.107; 1922
 1.923; 0.107; 1923
 1.924; 0.107; 1924
 1.925; 0.107; 1925
 1.926; 0.107; 1926
 1.927; 0.107; 1927
 1.928; 0.107; 1928
 1.929; 0.107; 1929
 1.930; 0.107; 1930
 1.931; 0.107; 1931
 1.932; 0.107; 1932
 1.933; 0.108; 1933
 1.934; 0.108; 1934
 1.935; 0.108; 1935
 1.936; 0.108; 1936
 1.937; 0.108; 1937
 1.938; 0.108; 1938
 1.939; 0.108; 1939
 1.940; 0.108; 1940
 1.941; 0.108; 1941
 1.942; 0.108; 1942
 1.943; 0.108; 1943
 1.944; 0.108; 1944
 1.945; 0.108; 1945
 1.946; 0.108; 1946
 1.947; 0.108; 1947
 1.948; 0.108; 1948
 1.949; 0.108; 1949
 1.950; 0.108; 1950
 1.951; 0.109; 1951
 1.952; 0.109; 1952
 1.953; 0.109; 1953
 1.954; 0.109; 1954
 1.955; 0.109; 1955
 1.956; 0.109; 1956
 1.957; 0.109; 1957
 1.958; 0.109; 1958
 1.959; 0.109; 1959
 1.960; 0.109; 1960
 1.961; 0.109; 1961
 1.962; 0.109; 1962
 1.963; 0.109; 1963
 1.964; 0.109; 1964
 1.965; 0.109; 1965
 1.966; 0.109; 1966
 1.967; 0.109; 1967
 1.968; 0.109; 1968
 1.969; 0.110; 1969
 1.970; 0.110; 1970
 1.971; 0.110; 1971
 1.972; 0.110; 1972
 1.973; 0.110; 1973
 1.974; 0.110; 1974
 1.975; 0.110; 1975
 1.976; 0.110; 1976
 1.977; 0.110; 1977
 1.978; 0.110; 1978
 1.979; 0.110; 1979
 1.980; 0.110; 1980
 1.981; 0.110; 1981
 1.982; 0.110; 1982
 1.983; 0.110; 1983
 1.984; 0.110; 1984
 1.985; 0.110; 1985
 1.986; 0.110; 1986
 1.987; 0.111; 1987
 1.988; 0.111; 1988
 1.989; 0.111; 1989
 1.990; 0.111; 1990
 1.991; 0.111; 1991
 1.992; 0.111; 1992
 1.993; 0.111; 1993
 1.994; 0.111; 1994
 1.995; 0.111; 1995
 1.996; 0.111; 1996
 1.997; 0.111; 1997
 1.998; 0.111; 1998
 1.999; 0.111; 1999
 2.000; 0.111; 2000
 2.001; 0.111; 2001
 2.002; 0.111; 2002
 2.003; 0.111; 2003
 2.004; 0.111; 2004
 2.005; 0.112; 2005
 2.006; 0.112; 2006
 2.007; 0.112; 2007
 2.008; 0.112; 2008
 2.009; 0.112; 2009
 2.010; 0.112; 2010
 2.011; 0.112; 2011
 2.012; 0.112; 2012
 2.013; 0.112; 2013
 2.014; 0.112; 2014
 2.015; 0.112; 2015
 2.016; 0.112; 2016
 2.017; 0.112; 2017
 2.018; 0.112; 2018
 2.019; 0.112; 2019
 2.020; 0.112; 2020
 2.021; 0.112; 2021
 2.022; 0.112; 2022
 2.023; 0.113; 2023
 2.024; 0.113; 2024
 2.025; 0.113; 2025
 2.026; 0.113; 2026
 2.027; 0.113; 2027
 2.028; 0.113; 2028
 2.029; 0.113; 2029
 2.030; 0.113; 2030
 2.031; 0.113; 2031
 2.032; 0.113; 2032
 2.033; 0.113; 2033
 2.034; 0.113; 2034
 2.035; 0.113; 2035
 2.036; 0.113; 2036
 2.037; 0.113; 2037
 2.038; 0.113; 2038
 2.039; 0.113; 2039
 2.040; 0.113; 2040
 2.041; 0.114; 2041
 2.042; 0.114; 2042
 2.043; 0.114; 2043
 2.044; 0.114; 2044
 2.045; 0.114; 2045
 2.046; 0.114; 2046
 2.047; 0.114; 2047
 2.048; 0.114; 2048
 2.049; 0.114; 2049
 2.050; 0.114; 2050
 2.051; 0.114; 2051
 2.052; 0.114; 2052
 2.053; 0.114; 2053
 2.054; 0.114; 2054
 2.055; 0.114; 2055
 2.056; 0.114; 2056
 2.057; 0.114; 2057
 2.058; 0.114; 2058
 2.059; 0.115; 2059
 2.060; 0.115; 2060
 2.061; 0.115; 2061
 2.062; 0.115; 2062
 2.063; 0.115; 2063
 2.064; 0.115; 2064
 2.065; 0.115; 2065
 2.066; 0.115; 2066
 2.067; 0.115; 2067
